106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107,106,107
100,116,124,125,124,125,124,125,124,125,124,125,124,125,124,125,124,125,124,116,124,125,124,125,124,125,124,125,124,125,124,125,124,125,124,125,124,106
100,116,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,117,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,116
100,116,341,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,341,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,129,106
100,116,340,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,271,279,263,255,255,255,255,255,255,255,97,106
100,116,340,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,259,261,256,255,255,255,255,255,255,255,99,106
100,116,340,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,117,118
100,116,340,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,340,129
100,116,340,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,129,106
100,116,340,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,124,106
100,116,340,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,115,99,106
100,116,340,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,124,134,106
100,116,115,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,124,106
117,117,128,102,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,99,106
99,102,116,117,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,124,106
117,117,117,120,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,129,106
99,102,271,278,279,263,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,97,106
117,117,275,137,162,265,255,255,255,255,255,255,255,255,255,271,279,279,263,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,129,106
99,102,275,155,155,267,338,338,255,255,255,255,255,255,255,275,277,272,266,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,98,106
117,117,259,260,261,256,255,255,255,255,255,255,255,338,255,259,260,261,256,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,99,106,106
266,255,255,255,255,255,255,271,278,279,280,278,278,263,255,255,255,255,255,271,278,279,278,263,255,255,338,255,255,255,255,255,255,255,255,117,97,106
266,255,255,255,255,255,255,276,210,217,218,202,282,265,255,255,255,255,271,210,218,219,202,266,255,271,279,278,278,279,278,279,280,264,255,255,255,124
202,279,280,278,279,280,278,283,198,199,200,212,202,282,279,278,279,280,182,222,286,285,220,202,278,182,158,158,192,321,322,322,192,158,279,280,278,264
220,218,219,217,218,219,217,218,219,217,218,223,221,218,219,217,218,219,217,222,286,285,286,220,217,218,219,217,218,219,217,218,219,217,218,219,218,219
285,286,287,285,286,287,285,286,287,285,286,287,285,286,287,285,286,287,285,286,287,285,286,287,285,286,287,285,286,287,285,286,287,285,286,287,285,286
